iter	Passed	Remaining
1277	12610	7124
1278	12621	7114
1279	12632	7105
1280	12643	7096
1281	12652	7086
1282	12663	7076
1283	12673	7067
1284	12682	7056
1285	12691	7046
1286	12701	7036
1287	12709	7025
1288	12720	7016
1289	12730	7006
1290	12740	6996
1291	12750	6986
1292	12759	6976
1293	12769	6967
1294	12779	6957
1295	12788	6946
1296	12798	6936
1297	12810	6928
1298	12830	6923
1299	12851	6919
1300	12870	6915
1301	12879	6904
1302	12899	6900
1303	12909	6890
1304	12918	6879
1305	12938	6875
1306	12949	6866
1307	12958	6855
1308	12969	6846
1309	12977	6835
1310	12987	6825
1311	12995	6814
1312	13006	6805
1313	13015	6795
1314	13025	6784
1315	13034	6774
1316	13045	6765
1317	13055	6755
1318	13065	6745
1319	13075	6735
1320	13082	6724
1321	13091	6714
1322	13099	6703
1323	13109	6693
1324	13118	6683
1325	13128	6673
1326	13139	6663
1327	13148	6653
1328	13158	6643
1329	13167	6633
1330	13177	6623
1331	13186	6613
1332	13197	6603
1333	13206	6593
1334	13217	6583
1335	13225	6572
1336	13234	6562
1337	13244	6552
1338	13255	6543
1339	13264	6533
1340	13273	6523
1341	13284	6513
1342	13293	6502
1343	13301	6492
1344	13311	6482
1345	13321	6472
1346	13330	6462
1347	13340	6452
1348	13350	6442
1349	13360	6433
1350	13369	6422
1351	13379	6412
1352	13389	6402
1353	13399	6392
1354	13408	6382
1355	13417	6372
1356	13426	6361
1357	13435	6351
1358	13444	6341
1359	13453	6331
1360	13463	6321
1361	13473	6311
1362	13483	6301
1363	13492	6291
1364	13503	6281
1365	13512	6271
1366	13522	6261
1367	13531	6251
1368	13540	6241
1369	13551	6231
1370	13560	6221
1371	13570	6211
1372	13579	6201
1373	13589	6191
1374	13600	6181
1375	13609	6171
1376	13619	6162
1377	13629	6151
1378	13638	6141
1379	13646	6131
1380	13657	6121
1381	13666	6111
1382	13675	6101
1383	13685	6091
1384	13695	6081
1385	13705	6071
1386	13714	6061
1387	13722	6050
1388	13732	6040
1389	13740	6030
1390	13750	6020
1391	13758	6009
1392	13770	6000
1393	13778	5989
1394	13787	5979
1395	13798	5969
1396	13807	5960
1397	13817	5950
1398	13827	5940
1399	13837	5930
1400	13846	5920
1401	13857	5910
1402	13867	5900
1403	13878	5891
1404	13889	5881
1405	13900	5872
1406	13910	5862
1407	13919	5852
1408	13929	5842
1409	13940	5833
1410	13949	5823
1411	13958	5812
1412	13967	5802
1413	13976	5792
1414	13986	5782
1415	13996	5772
1416	14005	5762
1417	14015	5752
1418	14024	5742
1419	14035	5732
1420	14044	5722
1421	14055	5713
1422	14063	5702
1423	14072	5692
1424	14082	5682
1425	14092	5672
1426	14102	5662
1427	14111	5652
1428	14120	5642
1429	14130	5632
1430	14140	5622
1431	14151	5613
1432	14160	5603
1433	14169	5592
1434	14191	5587
1435	14201	5577
1436	14211	5567
1437	14221	5558
1438	14231	5548
1439	14241	5538
1440	14251	5528
1441	14260	5518
1442	14271	5508
1443	14280	5498
1444	14290	5488
1445	14301	5479
1446	14311	5469
1447	14321	5459
1448	14332	5450
1449	14342	5440
1450	14352	5430
1451	14358	5419
1452	14368	5409
1453	14379	5399
1454	14389	5389
1455	14398	5379
1456	14407	5369
1457	14417	5359
1458	14427	5349
1459	14436	5339
1460	14446	5329
1461	14455	5319
1462	14465	5309
1463	14476	5300
1464	14486	5290
1465	14495	5280
1466	14505	5270
1467	14514	5260
1468	14523	5249
1469	14533	5240
1470	14541	5229
1471	14550	5219
1472	14559	5209
1473	14570	5199
1474	14579	5189
1475	14587	5178
1476	14598	5169
1477	14608	5159
1478	14617	5149
1479	14626	5138
1480	14634	5128
1481	14644	5118
1482	14655	5109
1483	14665	5099
1484	14676	5089
1485	14685	5079
1486	14696	5070
1487	14704	5059
1488	14713	5049
1489	14721	5038
1490	14732	5029
1491	14741	5019
1492	14752	5009
1493	14764	5000
1494	14772	4990
1495	14782	4980
1496	14792	4970
1497	14801	4960
1498	14811	4950
1499	14821	4940
1500	14831	4930
1501	14841	4920
1502	14850	4910
1503	14861	4901
1504	14892	4898
1505	14901	4888
1506	14911	4878
1507	14921	4868
1508	14930	4857
1509	14941	4848
1510	14949	4838
1511	14960	4828
1512	14969	4818
1513	14978	4808
1514	14988	4798
1515	14997	4788
1516	15008	4778
1517	15017	4768
1518	15026	4758
1519	15035	4748
1520	15046	4738
1521	15055	4728
1522	15065	4718
1523	15073	4708
1524	15084	4698
1525	15093	4688
1526	15103	4678
1527	15113	4668
1528	15123	4658
1529	15133	4648
1530	15143	4638
1531	15153	4629
1532	15163	4619
1533	15172	4609
1534	15184	4599
1535	15214	4596
1536	15245	4592
1537	15254	4582
1538	15264	4572
1539	15273	4562
1540	15282	4551
1541	15301	4544
1542	15311	4534
1543	15320	4524
1544	15330	4514
1545	15339	4504
1546	15349	4494
1547	15359	4484
1548	15369	4474
1549	15378	4464
1550	15389	4454
1551	15398	4444
1552	15407	4434
1553	15416	4424
1554	15426	4414
1555	15435	4404
1556	15445	4394
1557	15458	4385
1558	15467	4375
1559	15476	4365
1560	15487	4355
1561	15496	4345
1562	15506	4335
1563	15516	4325
1564	15526	4315
1565	15537	4305
1566	15546	4295
1567	15556	4285
1568	15564	4275
1569	15574	4265
1570	15582	4255
1571	15592	4245
1572	15612	4238
1573	15643	4233
1574	15653	4224
1575	15663	4214
1576	15674	4204
1577	15686	4194
1578	15695	4184
1579	15705	4174
1580	15714	4164
1581	15724	4154
1582	15732	4144
1583	15740	4133
1584	15748	4123
1585	15758	4113
1586	15769	4103
1587	15779	4093
1588	15798	4086
1589	15809	4076
1590	15821	4067
1591	15832	4057
1592	15843	4047
1593	15852	4037
1594	15861	4027
1595	15871	4017
1596	15880	4007
1597	15892	3997
1598	15900	3987
1599	15909	3977
1600	15920	3967
1601	15929	3957
1602	15940	3947
1603	15950	3937
1604	15961	3928
1605	15970	3918
1606	15979	3907
1607	15989	3897
1608	15997	3887
1609	16005	3877
1610	16016	3867
1611	16027	3857
1612	16037	3847
1613	16045	3837
1614	16054	3827
1615	16064	3817
1616	16075	3807
1617	16085	3797
1618	16094	3787
1619	16104	3777
1620	16115	3767
1621	16123	3757
1622	16133	3747
1623	16143	3737
1624	16153	3727
1625	16163	3717
1626	16173	3707
1627	16182	3697
1628	16192	3687
1629	16201	3677
1630	16210	3667
1631	16220	3657
1632	16230	3647
1633	16240	3637
1634	16249	3627
1635	16260	3617
1636	16271	3608
1637	16280	3598
1638	16290	3588
1639	16299	3577
1640	16309	3567
1641	16319	3558
1642	16329	3548
1643	16339	3538
1644	16349	3528
1645	16358	3518
1646	16368	3508
1647	16378	3498
1648	16388	3488
1649	16400	3478
1650	16409	3468
1651	16419	3458
1652	16429	3448
1653	16441	3439
1654	16457	3430
1655	16469	3421
1656	16479	3411
1657	16488	3401
1658	16497	3390
1659	16506	3380
1660	16516	3370
1661	16534	3362
1662	16543	3352
1663	16553	3342
1664	16562	3332
1665	16571	3322
1666	16591	3314
1667	16600	3304
1668	16608	3293
1669	16618	3283
